well,target,model,n_full,n_train,n_test,n_features,pysr_niter,pysr_populations,pysr_maxsize,elapsed_sec,r2_train,r2_test,mae_train,mae_test,complexity,formula
ZXX2,YMOD,PySR,2635,2108,527,9,80,20,30,455.8,0.8299,0.9323,802.6864,3634.7856,7,((DTC * -30514.07) + 7.543302e6) / DTS
ZXX2,SMOD,PySR,2635,2108,527,9,80,20,30,449.8,0.8642,0.822,0.2912,2.2324,11,(RMSC * -4.6383753) + (4850.111 / (DTS - (-14.215307 - DTC)))
ZXX2,POIS,PySR,2635,2108,527,9,80,20,30,392.7,0.9997,0.9994,0.0003,0.0005,7,((-3.0137959 / RMSC) + 2.1724403) / RMSC
ZXX2,SHMAX,PySR,2635,2108,527,9,80,20,30,369.2,0.8125,0.8206,1.2378,5.911,13,(((DEN * 80.13408) + (DTC - (-0.1087866 - DTS))) * -0.3184565) + 253.7397
ZXX3,YMOD,PySR,3998,3198,800,9,80,20,30,370.0,0.998,0.9973,110.8652,578.2713,17,(DTS * 200.89738) + (((DTC * 45.84955) - (DEN * 1897.4653)) * ((DTS * 0.34178448) + -50.78397))
ZXX3,SMOD,PySR,3998,3198,800,9,80,20,30,364.0,0.9986,0.9994,0.0373,0.0951,7,(92393.55 * (DEN / DTS)) / DTS
ZXX3,POIS,PySR,3998,3198,800,9,80,20,30,366.6,0.9995,0.9998,0.0002,0.0004,7,(2.126453 - (2.9633012 / RMSC)) / RMSC
ZXX6,YMOD,PySR,1144,915,229,9,80,20,30,350.7,0.9974,0.9968,94.8008,449.3536,15,(((DTS * ((DTC * 0.0038034196) - 1.2890314)) - -212.8273) / DTC) * (DEN * 11766.316)
ZXX6,SMOD,PySR,1144,915,229,9,80,20,30,355.2,0.9952,0.9809,0.054,0.4387,15,(2233.913 / DTC) + (((DTS * -0.25879923) - (DTC * -0.4140958)) + (-33.99908 / DEN))
ZXX6,POIS,PySR,1144,915,229,9,80,20,30,360.6,0.9993,0.9836,0.0003,0.004,7,((-4.2693543 / RMSC) - RMSC) + 4.4569435
ZXX7,YMOD,PySR,3136,2509,627,9,80,20,30,369.1,0.998,0.9876,96.0029,976.3177,19,(((((DTS - 363.2264) * DTS) + (3811.3416 / RMSC)) + 40159.625) * ((DEN + RMSC) / 0.8166224)) + -28105.72
ZXX7,SMOD,PySR,3136,2509,627,9,80,20,30,371.8,0.9977,0.9821,0.0451,0.3882,9,(((832.97626 / DTS) + DEN) * 4.4316974) + -25.60587
ZXX7,POIS,PySR,3136,2509,627,9,80,20,30,360.9,0.9967,0.9991,0.0006,0.001,7,(2.1828837 - (3.0332124 / RMSC)) / RMSC
