well,target,model,r2_train,r2_test,elapsed_sec
ZXX2,YMOD,Poly2_robust,0.9528,0.9615,0.0
ZXX2,YMOD,Poly3_robust,0.9551,0.9627,0.01
ZXX2,SMOD,Poly2_robust,0.9546,0.964,0.0
ZXX2,SMOD,Poly3_robust,0.9592,0.9673,0.01
ZXX2,POIS,Poly2_robust,0.8966,0.9036,0.0
ZXX2,POIS,Poly3_robust,0.9086,0.9193,0.0
ZXX2,SHMAX,Poly2_robust,0.9338,0.9509,0.0
ZXX2,SHMAX,Poly3_robust,0.94,0.9518,0.0
ZXX3,YMOD,Poly2_robust,0.9438,0.9494,0.0
ZXX3,YMOD,Poly3_robust,0.9005,0.9068,0.01
ZXX3,SMOD,Poly2_robust,0.9423,0.948,0.0
ZXX3,SMOD,Poly3_robust,0.8988,0.9044,0.01
ZXX3,POIS,Poly2_robust,0.9352,0.9426,0.0
ZXX3,POIS,Poly3_robust,0.9342,0.9417,0.01
ZXX3,SHMAX,Poly2_robust,0.6364,0.6687,0.0
ZXX3,SHMAX,Poly3_robust,0.6598,0.6944,0.01
ZXX6,YMOD,Poly2_robust,0.9456,0.9489,0.0
ZXX6,YMOD,Poly3_robust,0.9509,0.9536,0.0
ZXX6,SMOD,Poly2_robust,0.9375,0.9362,0.0
ZXX6,SMOD,Poly3_robust,0.9453,0.9451,0.0
ZXX6,POIS,Poly2_robust,0.8717,0.8623,0.0
ZXX6,POIS,Poly3_robust,0.8941,0.8808,0.0
ZXX6,SHMAX,Poly2_robust,0.9042,0.9012,0.0
ZXX6,SHMAX,Poly3_robust,0.9104,0.9064,0.0
ZXX7,YMOD,Poly2_robust,0.9173,0.919,0.0
ZXX7,YMOD,Poly3_robust,0.9121,0.9189,0.01
ZXX7,SMOD,Poly2_robust,0.9166,0.9194,0.0
ZXX7,SMOD,Poly3_robust,0.9074,0.9146,0.01
ZXX7,POIS,Poly2_robust,0.9222,0.9165,0.0
ZXX7,POIS,Poly3_robust,0.9452,0.9424,0.01
ZXX7,SHMAX,Poly2_robust,0.8182,0.8499,0.0
ZXX7,SHMAX,Poly3_robust,0.8204,0.865,0.01
